제목,이미지URL,촬영장소,사진작가,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시
가덕도 연대봉,http://tong.visitkorea.or.kr/cms2/website/27/2925827.jpg,부산광역시 강서구 천성동,부산관광공사,"가덕도 연대봉, 부산광역시 강서구, 부산관광공사",2925827,17,20221130131624,20221130161919
가덕도 외양포 포진지,http://tong.visitkorea.or.kr/cms2/website/23/2925823.jpg,부산광역시 강서구 대항동 산 13-23,부산관광공사,"가덕도 외양포 포진지, 부산광역시 강서구, 부산관광공사",2925823,17,20221130131622,20221130161820
가덕도 해안산책로,http://tong.visitkorea.or.kr/cms2/website/30/2927130.jpg,부산광역시 강서구 동선동 202-25,부산관광공사,"가덕도 해안산책로, 부산광역시 강서구, 부산관광공사",2927130,17,20221130185019,20221202090558
가덕해양파크휴게소,http://tong.visitkorea.or.kr/cms2/website/57/2927157.jpg,부산광역시 강서구 거가대로 2571,부산관광공사,"가덕해양파크휴게소, 부산광역시 강서구, 부산관광공사",2927157,17,20221130190751,20221202091421
가리산 레포츠파크,http://tong.visitkorea.or.kr/cms2/website/71/2778571.jpg,강원도 홍천군 두촌면,강원지사 모먼트스튜디오,"가리산 레포츠파크, 강원도 홍천군, 가리산자연휴양림, 테마파크, 포레스트 어드벤처, 가을, 추경, 단풍, 드론촬영, 드론사진, 항공촬영",2778571,17,20211124113155,20211124113207
가리왕산,http://tong.visitkorea.or.kr/cms2/website/98/3462498.jpg,강원특별자치도 정선군 정선읍,홍정표,"가리왕산, 강원특별자치도 정선군, 강원도, 케이블카, 드론촬영, 드론사진, 항공촬영, 10월 추천여행지, 사진기자단, 프레임코리아2기",3462498,17,20241231145024,20241231145317
가마,http://tong.visitkorea.or.kr/cms2/website/97/1859697.jpg,경상북도 영양군,한국관광공사 김지호,가마,1859697,17,20131118095428,20141021135137
가면축제_롯데월드,http://tong.visitkorea.or.kr/cms2/website/87/1038887.jpg,서울 롯데월드,한국관광공사 김지호,"롯데월드 가면축제, 마스크 퍼레이드, 놀이동산, 놀이공원, 축제, FIT",1038887,17,20100607173430,20170802134541
가산산성,http://tong.visitkorea.or.kr/cms2/website/86/1055486.jpg,경상북도 칠곡군,한국관광공사 박성근,가산산성,1055486,17,20100706104612,20150827125835
가실성당,http://tong.visitkorea.or.kr/cms2/website/42/1054542.jpg,경상북도 칠곡군,한국관광공사 박성근,칠곡 가실성당,1054542,17,20100702173435,20150827105314
가야금,http://tong.visitkorea.or.kr/cms2/website/19/1887319.jpg,전라북도 전주시,한국관광공사 김지호,"2013 중요무형문화재 보유자작품전, 문화재청국립무형유산원, (사)한국무형유산진흥센터, 전통악기, 민속악기, 가야금, 중요무형문화재 전수교육조교 김영열, 전라북도전주시, 전라북도 전주시",1887319,17,20140120135853,20141216151953
가야산 설경,http://tong.visitkorea.or.kr/cms2/website/56/3414456.jpg,"경상남도 합천군, 가야산국립공원",서정철,"2024 대한민국 관광공모전(사진), 한국의 특별한 순간, 가야산 설경, 경상남도 합천군, 가야산 국립공원, 겨울, 눈",3414456,17,20241113160022,20241205181146
가야산의 가을,http://tong.visitkorea.or.kr/cms2/website/57/2760957.jpg,경상남도 합천군,김범용,"2021 대한민국 관광공모전(사진), 가야산의 가을, 경상남도 합천군, 가야산 국립공원, 가을, 추경, 단풍, 드론촬영, 드론사진, 항공촬영",2760957,17,20211021150810,20211021150842
가야산의 여름,http://tong.visitkorea.or.kr/cms2/website/43/2620343.jpg,경상북도 성주군 수륜면,김진희,"2019 제47회 대한민국 관광사진 공모전, 입선, 가야산의 여름, 경상북도 성주군, 칠불봉, 산등성이, 능선, 자연",2620343,17,20190921025804,20241015234633
가오실지,http://tong.visitkorea.or.kr/cms2/website/96/1989296.jpg,경상북도 예천군,한국관광공사 김지호,"가오실지, 예천 연못, 연못, 버드나무, 인공섬, 단풍",1989296,17,20150224153651,20150224153751
가우도,http://tong.visitkorea.or.kr/cms2/website/42/2631742.jpg,전라남도 강진군 도암면,한국관광공사 김지호,"가우도, 전라남도 강진군, 섬",2631742,17,20191030103619,20191030103635
가우도 출렁다리,http://tong.visitkorea.or.kr/cms2/website/57/2631757.jpg,전라남도 강진군 도암면,한국관광공사 김지호,"가우도 출렁다리, 전라남도 강진군, 교량, 산책로, 산책길, 드론촬영, 드론사진, 항공촬영",2631757,17,20191030105731,20191030105744
가은영상타운,http://tong.visitkorea.or.kr/cms2/website/76/2012576.jpg,경상북도 문경시,한국관광공사 김지호,"가은영상타운, 문경 가은영상타운, 문경, 가은영상세트장, 가은세트장, 연개소문 촬영지, 고구려 세트장, 사극 드라마 세트장, 고구려궁",2012576,17,20150629111546,20150629111602
가은오픈세트장,http://tong.visitkorea.or.kr/cms2/website/19/2393619.jpg,경상북도 문경시    ,한국관광공사 이범수,"가은오픈세트장, 경상북도, 체험관광, 촬영장소, 드라마 촬영지, 가은영상타운, 문경 가은영상타운, 문경, 가은영상세트장, 가은세트장, 연개소문 촬영지, 고구려 세트장, 사극 드라마 세트장",2393619,17,20160718161436,20160718161752
가을 규봉암,http://tong.visitkorea.or.kr/cms2/website/75/2620275.jpg,광주광역시 북구,노홍진,"2019 제47회 대한민국 관광사진 공모전, 입선, 가을 규봉암, 광주광역시 북구, 암자, 무등산국립공원",2620275,17,20190921023452,20240624154100
가을 산사,http://tong.visitkorea.or.kr/cms2/website/98/3414898.jpg,"경상북도 청도군 운문면, 운문사",박창록,"2024 대한민국 관광공모전(사진), 한국의 특별한 순간, 가을 산사, 경상북도 청도군, 운문사, 절, 사찰, 종교, 불교, 운문산, 가을, 단풍, 추경, 운무, 전경",3414898,17,20241113171621,20241205180531
가을 선운사,http://tong.visitkorea.or.kr/cms2/website/36/2620336.jpg,전라북도 고창군 아산면,최재희,"2019 제47회 대한민국 관광사진 공모전, 입선, 가을 선운사, 전라북도 고창군, 절, 사찰, 추경, 단풍",2620336,17,20190921025615,20240625095154
가을 속 쌍계루,http://tong.visitkorea.or.kr/cms2/website/53/2761853.jpg,전라남도 장성군 장성읍,심태호,"2021 대한민국 관광공모전(스마트폰-가을), 가을 속 쌍계루, 전라남도 장성군, 반영, 정자, 돌다리, 단풍나무, 숲, 공원, 자연, 연못",2761853,17,20211025152801,20211025152930
가을 속으로..,http://tong.visitkorea.or.kr/cms2/website/53/2620253.jpg,전라북도 고창군 아산면,김동선,"2019 제47회 대한민국 관광사진 공모전, 입선, 가을 속으로.., 전라북도 고창군, 선운사, 도솔천, 추경, 가을, 단풍",2620253,17,20190921022655,20240625094418
가을 위를 날다,http://tong.visitkorea.or.kr/cms2/website/03/2761803.jpg,충청북도 단양군 단양읍,김대형,"2021 대한민국 관광공모전(스마트폰-가을), 가을 위를 날다, 충청북도 단양군, 양방산, 전망대, 페러글라이딩, 단풍, 갈대, 하늘, 스포츠, 레포츠",2761803,17,20211025145540,20211025145703
가을 회룡포,http://tong.visitkorea.or.kr/cms2/website/42/2761842.jpg,경상북도 예천군 용궁면,전희원,"2021 대한민국 관광공모전(스마트폰-가을), 가을 회룡포, 경상북도 예천군, 산, 물돌이마을, 하천, 자연, 전망대, 회룡대",2761842,17,20211026001831,20230422130353
가을n한탄강,http://tong.visitkorea.or.kr/cms2/website/29/3042929.jpg,"강원특별자치도 철원군 갈말읍, 한탄강",송우택,"2023 대한민국 관광공모전(사진), 가을n한탄강, 강원특별자치도 철원군, 강원도, 한탄강, 유네스코 세계지질공원, 철원 한탄강 물윗길, 산책로, 산책길, 걷기여행, 단풍, 추경, 자연",3042929,17,20231117143439,20240123111159
가을과겨울의 비밀의정원,http://tong.visitkorea.or.kr/cms2/website/15/2760715.jpg,강원도 인제군 남면,김동수,"?2021 대한민국 관광공모전(사진), 가을과겨울의 비밀의정원, 강원도 인제군, 추경, 단풍",2760715,17,20211021104256,20211021104942
가을날의환희,http://tong.visitkorea.or.kr/cms2/website/48/2563848.jpg,전라북도 전주시 완산구,박은숙,"2018 제46회 대한민국 관광사진 공모전, 입선, 가을날의환희, 전라북도 전주시, 전주향교, 사적 제379호, 은행나무, 은행잎, 추경, 한복",2563848,17,20181023022340,20240701165328
가을빛 내린 왕릉,http://tong.visitkorea.or.kr/cms2/website/62/2563762.jpg,경상북도 경주시 황남동,김재현,"2018 제46회 대한민국 관광사진 공모전, 입선, 가을빛 내린 왕릉, 경상북도 경주시, 경주역사유적지구, 유네스코 세계문화유산, 유네스코 세계유산, 대릉원지구, 황남대총, 사적 제40호, 고분, 무덤, 능",2563762,17,20181023004151,20240702153143
가을빛 따스한 청량사탑,http://tong.visitkorea.or.kr/cms2/website/43/1961943.jpg,경상북도 봉화군,김혜경,"2014 제42회 대한민국 관광사진 공모전, 동상, 청량산, 청량사탑, 경북 봉화군, 경상북도 봉화군, 경상남도봉화군",1961943,17,20141104021450,20240624150320
가을숲의 아침,http://tong.visitkorea.or.kr/cms2/website/60/2760960.jpg,경상북도 고령군 다산면,이명진,"?2021 대한민국 관광공모전(사진), 가을숲의 아침, 경상북도 고령군, 다산문화공원, 좌학 은행나무 숲, 가을, 추경, 단풍, 드론촬영, 드론사진, 항공촬영",2760960,17,20211021151234,20211021151304
가을아침,http://tong.visitkorea.or.kr/cms2/website/57/2760757.jpg,충청남도 천안시 동남구,문제안,"?2021 대한민국 관광공모전(사진), 가을아침, 충청남도 천안시, 독립기념관, 단풍나무숲길, 가을, 추경",2760757,17,20211021111911,20211021112219
가을의 색,http://tong.visitkorea.or.kr/cms2/website/89/2760989.jpg,경상북도 경주시 강동면,SONI ADITYA PRAKASH,"?2021 대한민국 관광공모전(사진), 가을의 색, 경상북도 경주시, 경주 운곡서원, 은행나무, 은행잎, 가을, 추경, 단풍, 기왓장",2760989,17,20211021161811,20211021161927
가을의 속삭임,http://tong.visitkorea.or.kr/cms2/website/48/2563748.jpg,강원도 홍천군,권연임,"2018 제46회 대한민국 관광사진 공모전, 입선, 가을의 속삭임, 강원도 홍천군",2563748,17,20181023002435,20240701161118
가을의 얼굴,http://tong.visitkorea.or.kr/cms2/website/61/2760961.jpeg,전라남도 순천시 대대동,박시형,"?2021 대한민국 관광공모전(사진), 가을의 얼굴, 전라남도 순천시, 순천만습지, 순천만자연생태공원, 명승 제41호, 순천만 갈대밭, 생태관광, 일몰, 석양, 낙조",2760961,17,20211021151320,20211021151351
가을의 화성,http://tong.visitkorea.or.kr/cms2/website/06/2620306.jpg,경기도 수원시 장안구,오도연,"2019 제47회 대한민국 관광사진 공모전, 입선, 가을의 화성, 경기도 수원시, 수원화성, 사적 제3호, 유네스코 세계문화유산, 유네스코 세계유산, 성곽, 문화유적, 갈대밭",2620306,17,20190921024630,20240607101419
가을추억,http://tong.visitkorea.or.kr/cms2/website/10/2761010.jpg,경상남도 밀양시 활성동,신영미,"?2021 대한민국 관광공모전(사진), 가을추억, 경상남도 밀양시, 금시당, 은행나무, 은행잎, 추경, 단풍",2761010,17,20211021164256,20211021164329
가을풍경,http://tong.visitkorea.or.kr/cms2/website/58/1104058.jpg,강원도 화천,한국관광공사 박성근,"가을풍경, 코스모스",1104058,17,20101005130610,20150903171745
가자미식해,http://tong.visitkorea.or.kr/cms2/website/98/2707198.jpg,대한민국(한국),알렉스 분도,"가자미식해, 젓갈류, 한식, 한국음식, 발효식품",2707198,17,20210225111024,20210225111102
